nose,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle,neck
[0.3108787  0.6845827  0.52602273],[0.3505312 0.6544292 0.6558394],[0.3617204 0.654816  0.7770184],[0.4252944  0.64311826 0.35544044],[0.4301644  0.6323689  0.35992667],[0.47871214 0.6630416  0.39698353],[0.48632675 0.6574936  0.4438886 ],[0.5293931  0.6436605  0.61036175],[0.5321796 0.6512688 0.7002438],[0.61771965 0.6379916  0.73858684],[0.55104005 0.77933234 0.75749123],[0.6445464  0.5159379  0.66271037],[0.6806413  0.780432   0.73814666],[0.3561258  0.65462255 0.7164289 ]
[0.28975728 0.6754168  0.52775663],[0.34087047 0.66126883 0.6892258 ],[0.34590316 0.631267   0.749459  ],[0.42395216 0.6398729  0.2744602 ],[0.42086738 0.6074071  0.45511812],[0.4690172 0.6596345 0.5427123],[0.47279525 0.643611   0.47316858],[0.5122299 0.6530938 0.7070416],[0.51987153 0.64410496 0.62144005],[0.6086058  0.62917566 0.5174031 ],[0.55521905 0.76275605 0.67328227],[0.65198255 0.50420564 0.7338521 ],[0.68459916 0.7796123  0.7331908 ],[0.34338683 0.6462679  0.7193424 ]
[0.27808702 0.6624171  0.49850708],[0.3298749  0.6449518  0.54155004],[0.33384106 0.61979836 0.57170266],[0.40058705 0.6257843  0.32630977],[0.40166804 0.6045786  0.369012  ],[0.44533595 0.64227355 0.48394078],[0.45585316 0.62625974 0.5635206 ],[0.49510092 0.63939416 0.7450271 ],[0.50071084 0.6301068  0.6935571 ],[0.58808255 0.6131809  0.6254351 ],[0.5502807 0.7363478 0.6523912],[0.6515908  0.50341797 0.78667206],[0.6791152 0.7696623 0.6473795],[0.33185798 0.6323751  0.5566263 ]
[0.2668808 0.6424613 0.5064158],[0.30788663 0.6231453  0.6047305 ],[0.32785562 0.6024087  0.6462435 ],[0.37083206 0.59699714 0.17423682],[0.37713295 0.5737035  0.5087613 ],[0.4229821  0.6208493  0.42330247],[0.4264362  0.60658723 0.38568065],[0.4880157  0.6158732  0.64515066],[0.4918871  0.61591524 0.67276525],[0.5730462  0.59072316 0.66900766],[0.55039907 0.7084881  0.62505704],[0.64534426 0.5041491  0.7127532 ],[0.67658603 0.71370614 0.6916995 ],[0.31787112 0.612777   0.62548697]
[0.24820411 0.63399696 0.4974575 ],[0.29449964 0.62049174 0.54816914],[0.30648366 0.5896166  0.7090414 ],[0.3693901  0.5982402  0.20438614],[0.3659547  0.56349814 0.5031499 ],[0.42005107 0.62139535 0.44970852],[0.4204492  0.6063558  0.40620887],[0.47680014 0.6014472  0.6702162 ],[0.4786038 0.597334  0.6462582],[0.56687266 0.5801241  0.6261202 ],[0.5457721 0.6934426 0.6652403],[0.6495112 0.5034494 0.715921 ],[0.67232895 0.6932506  0.702405  ],[0.30049163 0.60505414 0.62860525]
[0.2403001  0.6202773  0.48536235],[0.2766576  0.59501195 0.68123907],[0.28798264 0.5764308  0.73322105],[0.35688877 0.57546276 0.23997258],[0.3621412  0.55295336 0.56307954],[0.40470967 0.6014128  0.43063694],[0.40991426 0.58938706 0.47273245],[0.47013852 0.5825756  0.6896673 ],[0.47187898 0.58095914 0.6792813 ],[0.5591999  0.5611956  0.49275768],[0.5485046  0.660119   0.64796644],[0.66164327 0.4998408  0.65940124],[0.67451715 0.6486686  0.65018916],[0.28232014 0.5857214  0.7072301 ]
[0.2392357  0.61284363 0.67337996],[0.28498608 0.5726449  0.48945245],[0.29528183 0.5661628  0.6757338 ],[0.36619633 0.56618094 0.2653868 ],[0.36337042 0.5564854  0.3824169 ],[0.41415298 0.5859107  0.4487483 ],[0.41835457 0.5831083  0.5368013 ],[0.46405476 0.56657374 0.60077244],[0.46669656 0.57894254 0.644139  ],[0.560573   0.5503151  0.39338118],[0.5553567 0.6275706 0.5096426],[0.6693112  0.5010703  0.56826264],[0.6799308 0.5997804 0.5449166],[0.29013395 0.5694039  0.58259314]
[0.24278009 0.6002557  0.4931937 ],[0.2861761  0.57937765 0.591704  ],[0.29192752 0.55428034 0.59741706],[0.36503682 0.5627194  0.28358865],[0.36156952 0.54966307 0.4549027 ],[0.42140004 0.5814985  0.3472631 ],[0.42423293 0.5747328  0.40590653],[0.46573743 0.56183326 0.539631  ],[0.46811086 0.5638906  0.63717157],[0.564015  0.5498274 0.3906   ],[0.5642849  0.6134495  0.49801037],[0.6683335  0.49464327 0.5570095 ],[0.67608714 0.5663323  0.6647082 ],[0.2890518  0.56682897 0.5945605 ]
[0.241186   0.60263044 0.58649063],[0.2787227 0.5650418 0.5624062],[0.29473877 0.5504544  0.6637075 ],[0.3729813  0.56198233 0.29641134],[0.37602448 0.5518359  0.39372608],[0.41898987 0.57026803 0.31867212],[0.4127416  0.5662184  0.46196032],[0.4679156 0.5457925 0.6480259],[0.4707074 0.5491116 0.6925073],[0.5645862  0.52957785 0.5408771 ],[0.57062364 0.5818946  0.6749356 ],[0.6771722  0.48945987 0.5526567 ],[0.6807536  0.5343223  0.62919116],[0.28673074 0.5577481  0.61305684]
[0.24344634 0.57914734 0.50288326],[0.27127582 0.54649985 0.5841351 ],[0.28350484 0.54547155 0.5507537 ],[0.37222803 0.54453355 0.3288764 ],[0.38265988 0.545347   0.33495444],[0.4237246  0.5616588  0.29827747],[0.43231153 0.55572283 0.5002822 ],[0.46818322 0.53107727 0.70382875],[0.46976078 0.53843325 0.7298462 ],[0.56676143 0.52608097 0.53791124],[0.57630765 0.5483424  0.6729427 ],[0.6757564  0.48486996 0.70667785],[0.68894804 0.5102206  0.5784114 ],[0.27739033 0.5459857  0.56744444]
